Interface,ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
slcan0,123,0E,0B,04,04,03,03,08,0C,ATTACK,DoS,DoS
