Interface,ID,DLC,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
slcan0,201,[8],0,0,0,0,0,0,0,7D,ATTACK,SPOOFING,GAS
