Interface,ID,DLC,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
slcan0,158,[8],6,0C,6,33,6,1A,2.0,36,ATTACK,SPOOFING,SPEED
